id,employee_id,department,performance_score,years_with_company,salary
1,515,Services,6.14,30,138996.44
2,259,Engineering,0.09,25,80238.38
3,423,Training,1.45,0,122316.56
4,897,Product Management,8.63,29,128667.19
5,349,Research and Development,4.36,17,49068.49
6,134,Legal,0.27,7,98456.95
7,152,Accounting,4.57,21,64899.62
8,581,Legal,6.5,10,108318.95
9,47,Accounting,0.19,38,66767.17
10,698,Training,9.42,24,112484.7
11,800,Business Development,2.61,35,54503.08
12,176,Research and Development,3.95,6,95710.92
13,556,Legal,2.9,1,133724.24
14,928,Support,4.15,1,49949.98
15,245,Engineering,2.47,36,98790.64
16,634,Training,9.03,5,96625.94
17,350,Engineering,3.55,0,137650.66
18,439,Legal,6.75,23,43466.76
19,728,Legal,5.02,22,143526.4
20,712,Engineering,8.72,18,142683.32
21,198,Accounting,5.76,15,117097.52
22,473,Marketing,5.96,23,91633.05
23,992,Marketing,6.73,23,100948.89
24,115,Product Management,0.03,25,142097.76
25,693,Accounting,8.15,39,115033.8
26,162,Research and Development,8.43,2,122651.44
27,73,Marketing,1.53,13,124504.44
28,549,Support,4.6,16,109128.77
29,544,Engineering,4.68,6,119913.36
30,183,Sales,9.47,5,116343.59
31,674,Support,4.74,4,149450.2
32,59,Business Development,6.56,29,39005.82
33,174,Marketing,3.72,19,40313.33
34,315,Support,6.7,37,136568.68
35,955,Accounting,5.1,34,118254.03
36,399,Sales,8.03,30,58468.49
37,621,Sales,1.49,1,62713.73
38,140,Human Resources,1.55,36,141520.16
39,175,Product Management,9.95,1,125563.67
40,989,Product Management,1.29,25,47587.27
41,781,Accounting,3.88,10,76592.1
42,499,Marketing,2.64,18,80451.38
43,297,Human Resources,5.49,39,88612.32
44,686,Engineering,8.11,15,79535.72
45,627,Marketing,3.81,23,46885.56
46,848,Support,3.95,2,34704.96
47,666,Research and Development,9.54,32,37659.86
48,727,Human Resources,1.34,30,123375.04
49,198,Engineering,9.32,16,111782.48
50,469,Human Resources,4.44,27,108009.16
51,123,Legal,6.45,23,115482.63
52,924,Engineering,9.67,12,44319.02
53,863,Support,1.03,21,33333.32
54,187,Marketing,3.18,2,59523.3
55,472,Business Development,6.44,30,88372.43
56,387,Services,0.02,1,131368.83
57,776,Business Development,2.04,7,89444.14
58,261,Accounting,6.99,1,93425.72
59,220,Human Resources,7.41,16,149178.58
60,292,Support,2.92,5,132292.67
61,145,Research and Development,0.96,11,39607.35
62,904,Accounting,8.63,0,103801.82
63,112,Product Management,8.3,27,112291.43
64,540,Support,0.26,13,134806.69
65,769,Training,3.92,27,108537.82
66,324,Product Management,3.06,10,133401.92
67,954,Sales,3.71,3,116723.68
68,431,Product Management,1.54,16,31900.92
69,138,Legal,0.17,9,124342.04
70,629,Sales,3.29,12,107042.73
71,696,Accounting,4.11,15,31028.28
72,476,Sales,3.4,5,64917.65
73,287,Marketing,0.32,24,68117.24
74,619,Support,5.73,7,51114.15
75,978,Engineering,9.41,2,133649.4
76,181,Business Development,4.36,10,104455.6
77,575,Product Management,7.51,33,107548.41
78,965,Marketing,9.74,5,138806.24
79,370,Training,0.7,22,84687.33
80,990,Research and Development,1.05,19,121206.62
81,19,Sales,8.07,6,64847.43
82,799,Support,3.21,22,70211.01
83,381,Training,2.98,6,48540.15
84,789,Support,3.68,20,113720.78
85,963,Legal,4.64,32,113859.75
86,156,Training,7.6,6,133932.69
87,117,Accounting,2.03,8,120516.96
88,967,Legal,2.98,7,38866.74
89,539,Engineering,6.09,25,77207.83
90,589,Training,9.94,32,135303.41
91,537,Sales,0.17,27,148668.83
92,274,Training,0.8,4,119968.97
93,43,Accounting,1.12,22,76819.08
94,515,Engineering,9.25,24,112295.63
95,424,Training,7.98,16,143455.13
96,381,Research and Development,1.51,30,64506.51
97,490,Human Resources,7.16,1,127444.44
98,764,Product Management,3.25,33,119665.99
99,820,Services,6.4,30,83385.77
100,806,Accounting,8.91,32,94565.93
101,452,Training,6.03,0,107093.89
102,295,Accounting,2.92,36,99049.89
103,607,Accounting,1.21,28,83421.76
104,462,Accounting,5.67,7,112717.43
105,563,Accounting,6.22,13,92005.52
106,307,Product Management,1.19,6,120029.29
107,484,Training,3.57,10,48949.19
108,12,Engineering,3.7,17,65311.75
109,291,Engineering,1.89,8,109227.86
110,337,Sales,8.98,5,63521.2
111,18,Engineering,1.38,30,122413.92
112,202,Accounting,9.22,18,53768.42
113,98,Sales,8.76,18,44580.55
114,249,Product Management,8.0,28,147682.69
115,209,Accounting,6.41,11,72941.53
116,937,Business Development,1.95,17,66456.14
117,88,Accounting,8.33,30,96978.21
118,479,Services,5.58,0,131978.59
119,127,Research and Development,6.48,19,149790.27
120,319,Product Management,5.48,34,56168.3
121,655,Business Development,7.96,13,88654.39
122,70,Training,7.02,1,122008.88
123,536,Product Management,0.26,33,140225.15
124,177,Accounting,3.94,26,138601.55
125,838,Business Development,4.41,7,86669.74
126,39,Sales,7.29,4,94308.92
127,840,Sales,9.03,32,141053.77
128,737,Services,4.61,5,130243.34
129,545,Engineering,8.53,17,54361.39
130,268,Marketing,3.54,34,57168.84
131,388,Engineering,5.31,29,72735.26
132,201,Business Development,9.31,31,77502.75
133,576,Accounting,8.14,26,92968.97
134,354,Training,1.56,30,39923.38
135,905,Research and Development,8.56,39,75343.97
136,645,Support,9.75,14,98994.21
137,266,Sales,7.51,18,44952.32
138,723,Training,2.79,20,114681.32
139,660,Training,2.23,24,123373.84
140,167,Human Resources,1.56,24,77997.78
141,838,Engineering,8.97,38,130594.31
142,869,Sales,2.86,15,55907.93
143,695,Legal,5.84,21,80930.76
144,942,Research and Development,5.71,13,140194.16
145,949,Accounting,4.58,4,128665.75
146,93,Engineering,5.39,14,55669.23
147,765,Marketing,5.64,18,124080.49
148,573,Product Management,5.2,31,51401.29
149,280,Sales,1.59,37,69486.84
150,162,Accounting,7.66,26,103226.4
151,844,Support,9.15,24,98064.76
152,592,Product Management,9.24,6,39334.12
153,562,Training,4.3,29,69185.53
154,648,Business Development,8.16,31,74905.19
155,789,Sales,0.03,28,123367.97
156,370,Accounting,7.28,39,116891.8
157,15,Accounting,8.26,20,35202.1
158,773,Accounting,5.45,27,124481.65
159,958,Business Development,9.52,1,75051.07
160,784,Services,7.16,14,58437.33
161,887,Training,8.39,32,79617.19
162,374,Marketing,3.4,3,35204.52
163,577,Accounting,8.48,28,73375.22
164,231,Business Development,9.31,19,105320.05
165,157,Sales,9.7,31,54309.71
166,482,Human Resources,6.13,28,38627.84
167,90,Services,5.82,36,45668.26
168,928,Research and Development,2.12,40,66805.48
169,660,Product Management,4.84,19,140006.06
170,67,Support,3.43,39,53785.71
171,761,Engineering,1.66,15,100826.65
172,606,Business Development,5.75,33,147421.69
173,618,Training,8.38,35,58908.3
174,985,Legal,5.93,11,135423.64
175,964,Product Management,3.42,24,103378.04
176,946,Marketing,9.43,34,79290.3
177,515,Marketing,1.93,18,96159.61
178,323,Training,3.67,10,78310.0
179,22,Sales,1.43,24,65599.29
180,753,Product Management,0.08,1,93023.57
181,955,Legal,2.72,34,64676.52
182,564,Legal,7.71,8,77779.1
183,196,Legal,3.66,27,67291.03
184,733,Legal,8.86,14,94876.82
185,532,Accounting,1.26,4,124069.62
186,208,Legal,3.93,26,37493.04
187,158,Sales,6.01,39,59891.34
188,763,Services,4.97,3,45477.12
189,914,Human Resources,2.63,25,112711.49
190,111,Training,5.43,39,62643.78
191,346,Services,7.46,16,141040.1
192,313,Human Resources,8.13,6,119512.4
193,850,Accounting,8.6,9,144077.78
194,616,Business Development,6.3,31,44239.46
195,359,Product Management,9.5,16,116618.87
196,638,Human Resources,1.35,0,143007.71
197,457,Engineering,2.6,4,56118.4
198,509,Sales,9.29,39,65731.97
199,886,Training,2.22,15,54696.25
200,153,Sales,8.4,13,85877.34
201,263,Product Management,3.46,8,88943.13
202,364,Services,4.03,24,80493.72
203,264,Engineering,3.96,35,115433.36
204,131,Sales,7.38,25,49600.87
205,422,Engineering,2.05,6,127086.25
206,777,Marketing,0.23,15,106276.6
207,991,Training,7.6,17,49300.18
208,962,Research and Development,4.51,39,124028.13
209,26,Product Management,1.12,11,144974.01
210,304,Sales,7.91,21,145448.26
211,175,Research and Development,8.32,40,121986.03
212,197,Engineering,3.32,7,54000.88
213,560,Engineering,7.4,38,83721.5
214,940,Research and Development,7.95,34,84074.55
215,147,Legal,8.77,33,91910.46
216,434,Accounting,8.52,11,112662.38
217,167,Marketing,8.76,21,123872.57
218,752,Business Development,7.36,11,50207.95
219,276,Services,1.86,35,33761.18
220,398,Research and Development,8.9,5,42023.38
221,101,Product Management,6.89,28,56446.98
222,544,Support,1.08,20,109292.76
223,237,Legal,1.35,17,42234.65
224,651,Human Resources,8.91,27,59364.64
225,661,Research and Development,7.62,9,45686.77
226,877,Engineering,7.36,30,104453.14
227,698,Services,1.57,7,39365.52
228,719,Sales,7.73,1,35714.66
229,465,Human Resources,2.52,18,94873.27
230,284,Engineering,4.38,19,86622.45
231,872,Product Management,0.16,6,134836.06
232,318,Human Resources,5.19,20,50646.84
233,595,Accounting,5.17,18,89108.01
234,946,Marketing,6.72,37,48261.62
235,223,Business Development,8.14,22,118990.86
236,877,Services,2.07,25,39543.04
237,769,Business Development,9.74,31,56886.64
238,334,Product Management,0.18,34,129485.65
239,911,Engineering,6.29,34,143623.02
240,982,Legal,1.89,6,87784.7
241,238,Sales,2.09,35,30607.0
242,379,Legal,1.48,18,38259.94
243,986,Support,8.56,15,112299.21
244,575,Engineering,8.16,0,41266.49
245,755,Legal,9.52,21,47717.0
246,815,Sales,4.21,32,141990.68
247,839,Accounting,0.74,22,51193.7
248,580,Legal,1.55,11,111266.66
249,99,Product Management,4.52,35,69005.01
250,703,Engineering,8.06,15,60363.4
251,246,Training,8.7,0,120313.02
252,532,Business Development,9.12,37,73141.01
253,959,Research and Development,4.31,22,33411.35
254,87,Training,2.06,39,145173.41
255,794,Product Management,4.33,37,139239.36
256,31,Sales,9.63,26,69071.78
257,605,Legal,4.27,7,36719.18
258,468,Research and Development,5.03,16,149077.45
259,947,Support,1.38,22,78904.25
260,470,Engineering,8.82,33,132412.22
261,12,Services,1.23,21,74432.26
262,905,Support,7.58,22,148512.53
